customer_id,branch,rm,aum_bil_vnd,monthly_trading_value_mil_vnd,margin_balance_bil_vnd,product_usage,last_active_date,lifecycle
C0001,Hanoi HQ,RM_07,0.42,210.92,0.15,Fund|Margin,2026-04-14,Active
C0002,Da Nang,RM_03,0.45,217.31,0.04,Margin|Bond,2026-04-27,Active
C0003,Hai Phong,RM_10,0.56,99.91,0.16,Margin,2026-04-22,Active
C0004,Online,RM_18,0.4,339.23,0.02,Margin|Derivative|Bond,2026-04-10,Dormant
C0005,Hai Phong,RM_04,1.27,55.12,0.24,Equity|Bond,2026-04-26,Dormant
C0006,Ho Chi Minh,RM_14,0.29,442.3,0.07,Fund|Equity,2026-04-17,Active
C0007,Hanoi HQ,RM_25,1.02,17.2,0.06,Bond,2026-04-01,Active
C0008,Can Tho,RM_11,1.37,44.13,0.49,Advisory|Derivative,2026-04-14,Active
C0009,Ho Chi Minh,RM_02,0.57,51.31,0.17,Margin|Fund,2026-04-11,VIP
C0010,Da Nang,RM_03,1.04,649.58,0.36,Derivative,2026-04-18,New
C0011,Hanoi HQ,RM_07,10.08,38.74,3.15,Advisory|Margin|Fund,2026-04-28,Active
C0012,Hanoi HQ,RM_19,1.2,427.73,0.47,Derivative|Equity,2026-04-01,Dormant
C0013,Hanoi HQ,RM_07,0.56,198.65,0.16,Advisory,2026-04-30,Active
C0014,Online,RM_30,0.49,87.05,0.07,Bond|Derivative,2026-03-10,Active
C0015,Online,RM_12,0.71,18.98,0.1,Derivative,2026-04-24,New
C0016,Can Tho,RM_05,2.49,24.91,0.76,Equity|Margin,2026-04-17,Active
C0017,Online,RM_06,2.94,25.6,0.84,Advisory,2026-04-17,New
C0018,Ho Chi Minh,RM_20,0.24,56.48,0.08,Advisory|Margin|Bond,2026-04-01,Dormant
C0019,Can Tho,RM_11,0.33,83.95,0.14,Bond|Derivative|Equity,2026-03-24,Active
C0020,Ho Chi Minh,RM_02,1.97,141.48,0.17,Equity|Advisory|Margin,2026-04-25,Dormant
C0021,Ho Chi Minh,RM_20,0.91,303.88,0.0,Advisory|Bond|Fund,2026-04-29,Active
C0022,Da Nang,RM_03,0.22,246.34,0.07,Derivative,2026-04-26,New
C0023,Hanoi HQ,RM_19,0.19,264.26,0.05,Fund|Equity|Margin,2026-02-20,Active
C0024,Hai Phong,RM_28,1.69,184.61,0.18,Bond|Derivative|Margin,2026-04-18,Active
C0025,Online,RM_06,0.64,270.12,0.28,Margin,2026-03-02,Active
C0026,Online,RM_18,1.47,132.45,0.46,Equity|Derivative,2026-04-15,Dormant
C0027,Can Tho,RM_17,1.13,846.67,0.15,Bond|Advisory,2026-04-21,Active
C0028,Hanoi HQ,RM_13,0.42,103.96,0.17,Derivative|Fund,2026-04-30,VIP
C0029,Hai Phong,RM_22,0.48,130.67,0.01,Advisory|Margin,2026-03-30,Active
C0030,Online,RM_12,0.69,211.68,0.26,Advisory|Margin,2026-04-27,Active
C0031,Online,RM_30,0.65,70.08,0.13,Bond|Fund,2026-04-06,Active
C0032,Online,RM_12,0.22,82.81,0.02,Margin|Bond,2026-04-25,Active
C0033,Can Tho,RM_29,1.06,735.81,0.29,Fund|Advisory,2026-04-21,New
C0034,Can Tho,RM_05,0.55,61.57,0.24,Fund|Advisory,2026-04-27,Active
C0035,Can Tho,RM_23,0.52,213.06,0.0,Equity,2026-03-13,New
C0036,Da Nang,RM_27,1.33,372.51,0.34,Margin,2026-04-28,VIP
C0037,Hai Phong,RM_10,0.37,46.04,0.04,Derivative,2026-04-22,Active
C0038,Can Tho,RM_29,0.4,304.62,0.02,Margin,2026-04-09,VIP
C0039,Hai Phong,RM_04,1.26,54.78,0.46,Margin|Bond,2026-02-06,Active
C0040,Hanoi HQ,RM_25,0.39,27.34,0.09,Margin,2026-04-18,New
C0041,Can Tho,RM_29,1.0,103.68,0.43,Fund|Margin|Equity,2026-04-15,Active
C0042,Hai Phong,RM_04,4.44,186.71,1.93,Bond|Advisory,2026-04-10,Active
C0043,Ho Chi Minh,RM_08,0.45,154.43,0.02,Margin,2026-02-12,VIP
C0044,Hai Phong,RM_04,2.73,41.87,0.59,Fund|Equity|Advisory,2026-04-22,Active
C0045,Hanoi HQ,RM_13,0.71,87.09,0.02,Fund,2026-04-28,VIP
C0046,Hai Phong,RM_28,1.44,76.95,0.15,Fund,2026-03-02,Active
C0047,Can Tho,RM_11,0.61,163.72,0.19,Fund|Derivative|Bond,2026-04-29,VIP
C0048,Hai Phong,RM_22,1.73,146.37,0.04,Derivative|Bond,2026-04-25,Active
C0049,Ho Chi Minh,RM_08,2.03,16.34,0.07,Margin|Bond|Fund,2026-02-24,Dormant
C0050,Hai Phong,RM_28,0.38,76.75,0.01,Advisory|Bond|Fund,2026-03-11,Dormant
C0051,Da Nang,RM_27,2.35,71.41,1.05,Fund,2026-04-28,Active
C0052,Hanoi HQ,RM_01,0.06,44.39,0.01,Margin|Advisory,2026-04-29,VIP
C0053,Da Nang,RM_21,3.57,231.75,1.22,Fund,2026-04-22,Active
C0054,Hai Phong,RM_04,1.47,34.72,0.41,Equity|Bond|Fund,2026-04-23,Dormant
C0055,Online,RM_18,0.86,425.41,0.22,Fund,2026-03-24,Dormant
C0056,Hanoi HQ,RM_07,2.09,17.29,0.37,Bond|Derivative|Advisory,2026-04-20,Active
C0057,Hai Phong,RM_28,0.9,15.06,0.28,Bond|Derivative,2026-04-02,Active
C0058,Ho Chi Minh,RM_02,2.22,24.51,0.24,Margin,2026-04-29,Dormant
C0059,Da Nang,RM_27,0.27,208.29,0.02,Bond,2026-04-30,New
C0060,Hanoi HQ,RM_01,0.08,210.34,0.03,Advisory|Fund,2026-04-28,Active
C0061,Hai Phong,RM_22,1.7,60.47,0.57,Equity|Derivative|Bond,2026-04-27,Active
C0062,Hanoi HQ,RM_13,1.08,50.48,0.41,Fund,2026-04-06,Active
C0063,Hanoi HQ,RM_25,0.33,225.49,0.08,Advisory|Bond,2026-03-28,Active
C0064,Hai Phong,RM_04,2.77,28.39,0.6,Derivative|Advisory,2026-04-15,Active
C0065,Online,RM_06,0.91,301.33,0.1,Bond|Margin,2026-04-18,Active
C0066,Online,RM_06,0.38,70.01,0.03,Advisory|Margin|Fund,2026-04-24,Active
C0067,Online,RM_24,0.57,44.09,0.25,Bond|Derivative,2026-03-25,Dormant
C0068,Ho Chi Minh,RM_02,5.58,710.57,0.7,Derivative|Advisory,2026-04-04,Active
C0069,Da Nang,RM_15,1.94,277.3,0.08,Margin|Equity|Advisory,2026-04-18,Active
C0070,Online,RM_24,0.4,276.1,0.12,Fund|Equity|Derivative,2026-04-05,Dormant
C0071,Hai Phong,RM_28,0.86,132.0,0.07,Margin|Equity,2026-04-29,Active
C0072,Hai Phong,RM_28,0.53,84.23,0.19,Bond|Margin,2026-04-11,Active
C0073,Ho Chi Minh,RM_08,4.26,77.19,1.72,Margin,2026-04-13,Active
C0074,Ho Chi Minh,RM_14,0.07,578.37,0.01,Bond|Advisory,2026-04-07,Active
C0075,Can Tho,RM_29,0.46,46.98,0.05,Advisory|Bond,2026-04-06,Active
C0076,Hai Phong,RM_22,2.62,73.36,0.18,Advisory,2026-04-26,Active
C0077,Ho Chi Minh,RM_26,0.33,30.43,0.03,Equity|Fund,2026-03-18,Dormant
C0078,Ho Chi Minh,RM_08,8.35,137.91,0.07,Fund,2026-03-24,New
C0079,Hanoi HQ,RM_19,0.87,133.57,0.36,Equity|Bond,2026-04-20,Active
C0080,Hanoi HQ,RM_25,0.21,35.7,0.02,Fund|Bond|Margin,2026-04-14,Active
C0081,Ho Chi Minh,RM_26,0.26,19.38,0.06,Fund|Equity,2026-03-16,Active
C0082,Da Nang,RM_27,0.23,101.55,0.02,Margin|Bond,2026-04-18,Active
C0083,Ho Chi Minh,RM_26,0.55,35.42,0.02,Fund,2026-01-17,Active
C0084,Hanoi HQ,RM_19,0.46,11.56,0.13,Fund|Derivative|Bond,2026-04-22,Active
C0085,Hai Phong,RM_22,0.09,30.56,0.02,Equity,2026-04-27,Dormant
C0086,Ho Chi Minh,RM_02,0.5,110.82,0.04,Derivative,2026-04-08,Active
C0087,Can Tho,RM_29,0.13,363.53,0.03,Equity|Derivative|Advisory,2026-03-22,Dormant
C0088,Can Tho,RM_11,0.55,37.38,0.08,Margin|Fund,2026-04-29,Active
C0089,Hai Phong,RM_28,1.23,159.59,0.34,Equity|Advisory|Fund,2026-04-23,Dormant
C0090,Can Tho,RM_05,2.52,11.0,0.49,Bond|Margin,2026-04-24,Active
C0091,Da Nang,RM_27,0.81,141.15,0.16,Derivative|Bond,2026-04-30,Active
C0092,Hai Phong,RM_22,0.2,133.67,0.02,Bond|Advisory,2026-04-30,New
C0093,Can Tho,RM_05,2.03,201.21,0.19,Fund,2026-04-30,Active
C0094,Online,RM_12,0.66,1498.54,0.17,Equity,2026-03-29,VIP
C0095,Hanoi HQ,RM_01,0.87,52.12,0.1,Derivative|Margin|Advisory,2026-04-22,Active
C0096,Ho Chi Minh,RM_02,1.22,105.04,0.07,Equity|Margin,2026-04-19,New
C0097,Online,RM_30,0.45,1499.38,0.07,Fund,2026-04-23,Active
C0098,Da Nang,RM_03,0.53,57.96,0.19,Advisory,2026-03-03,New
C0099,Hai Phong,RM_16,1.06,234.19,0.38,Bond|Fund,2026-04-11,Active
C0100,Ho Chi Minh,RM_26,0.84,78.55,0.02,Bond,2026-04-15,New
C0101,Da Nang,RM_21,0.32,235.51,0.02,Equity,2026-04-21,Active
C0102,Hanoi HQ,RM_07,0.8,71.95,0.08,Fund|Equity,2026-04-28,Active
C0103,Hanoi HQ,RM_07,1.09,14.32,0.39,Advisory|Bond,2026-04-24,New
C0104,Hai Phong,RM_10,0.47,32.44,0.2,Advisory|Bond,2026-04-29,New
C0105,Online,RM_12,1.82,168.97,0.8,Bond,2026-04-04,New
