date,product,revenue_mil_vnd,cost_mil_vnd,profit_mil_vnd
2025-01-01,Equity Brokerage,1226.2,690.3,535.9
2025-01-01,Margin Lending,888.6,411.2,477.4
2025-01-01,Derivatives,504.9,240.9,263.9
2025-01-01,Advisory,176.3,105.1,71.2
2025-01-01,Bond/Fund Distribution,256.0,100.9,155.1
2025-01-02,Equity Brokerage,1184.1,421.8,762.3
2025-01-02,Margin Lending,1211.6,384.2,827.4
2025-01-02,Derivatives,279.1,131.4,147.7
2025-01-02,Advisory,127.1,35.9,91.2
2025-01-02,Bond/Fund Distribution,125.9,56.9,68.9
2025-01-03,Equity Brokerage,1004.5,416.3,588.1
2025-01-03,Margin Lending,1075.0,392.6,682.3
2025-01-03,Derivatives,448.4,229.2,219.2
2025-01-03,Advisory,149.4,67.1,82.3
2025-01-03,Bond/Fund Distribution,299.5,169.6,129.9
2025-01-04,Equity Brokerage,1343.4,508.2,835.2
2025-01-04,Margin Lending,1089.1,403.0,686.1
2025-01-04,Derivatives,383.9,229.4,154.4
2025-01-04,Advisory,140.1,78.4,61.7
2025-01-04,Bond/Fund Distribution,275.0,98.0,177.1
2025-01-05,Equity Brokerage,1141.9,400.2,741.7
2025-01-05,Margin Lending,898.2,533.8,364.4
2025-01-05,Derivatives,291.3,137.2,154.1
2025-01-05,Advisory,150.8,77.3,73.5
2025-01-05,Bond/Fund Distribution,316.9,121.6,195.3
2025-01-06,Equity Brokerage,1096.6,379.6,717.0
2025-01-06,Margin Lending,1049.0,467.2,581.8
2025-01-06,Derivatives,532.3,276.2,256.1
2025-01-06,Advisory,210.3,121.1,89.1
2025-01-06,Bond/Fund Distribution,225.0,108.2,116.8
2025-01-07,Equity Brokerage,1258.5,490.0,768.5
2025-01-07,Margin Lending,1014.6,481.5,533.1
2025-01-07,Derivatives,570.6,269.1,301.5
2025-01-07,Advisory,230.0,112.0,118.0
2025-01-07,Bond/Fund Distribution,216.3,65.8,150.5
2025-01-08,Equity Brokerage,1174.7,557.0,617.7
2025-01-08,Margin Lending,785.5,392.0,393.5
2025-01-08,Derivatives,336.2,106.7,229.4
2025-01-08,Advisory,173.4,93.5,79.9
2025-01-08,Bond/Fund Distribution,20.0,10.0,10.0
2025-01-09,Equity Brokerage,1228.9,507.9,721.0
2025-01-09,Margin Lending,995.1,310.4,684.7
2025-01-09,Derivatives,387.4,187.7,199.8
