date,rm,branch,new_accounts,revenue_mil_vnd,margin_balance_bil_vnd,aum_bil_vnd,conversion_rate_pct
2025-01-01,RM_01,HaiPhong,104,207.3,4981.5,17200.6,12.5
2025-01-01,RM_02,DaNang,193,256.9,2374.5,35959.5,3.8
2025-01-01,RM_03,CanTho,120,599.0,1304.3,40333.0,15.5
2025-01-01,RM_04,Online,154,792.3,2575.6,34400.0,15.1
2025-01-01,RM_05,HCM_Center,52,570.1,5087.2,30427.9,7.4
2025-01-01,RM_06,HaiPhong,181,600.3,5181.7,32003.9,16.1
2025-01-01,RM_07,HN_HeadOffice,149,733.0,2670.5,33666.5,7.0
2025-01-01,RM_08,DaNang,182,719.7,1290.8,7377.6,17.0
2025-01-01,RM_09,HCM_Center,105,277.0,2330.1,8415.9,12.2
2025-01-01,RM_10,CanTho,172,428.2,2612.2,45199.0,7.2
2025-01-01,RM_11,CanTho,217,220.0,4976.4,45924.2,6.7
2025-01-01,RM_12,Online,179,186.3,4902.9,27562.4,17.4
2025-01-01,RM_13,HN_HeadOffice,127,195.6,5247.9,22881.6,13.2
2025-01-01,RM_14,HaiPhong,175,275.1,3685.7,5425.5,10.5
2025-01-01,RM_15,CanTho,30,165.1,6464.9,11854.9,13.1
2025-01-01,RM_16,HCM_Center,83,124.2,2856.3,41866.2,17.0
2025-01-01,RM_17,DaNang,76,447.5,4435.7,43947.2,11.7
2025-01-01,RM_18,CanTho,188,505.6,3609.6,45814.1,6.1
2025-01-01,RM_19,HCM_Center,156,172.0,5431.1,33652.6,6.8
2025-01-01,RM_20,HaiPhong,95,96.5,8327.0,8410.1,16.8
2025-01-01,RM_21,HaiPhong,118,552.0,7154.4,12203.7,3.2
2025-01-01,RM_22,HCM_Center,105,781.9,2785.4,24294.6,4.2
2025-01-01,RM_23,CanTho,31,199.7,4476.9,37963.3,12.7
2025-01-01,RM_24,DaNang,48,693.7,5840.3,38923.9,6.1
2025-01-01,RM_25,HaiPhong,40,361.4,5875.4,21200.5,8.0
2025-01-01,RM_26,HCM_Center,31,616.0,8483.8,11237.8,16.2
2025-01-01,RM_27,Online,183,735.7,942.8,33689.8,13.4
2025-01-01,RM_28,CanTho,176,805.6,1845.8,11372.9,17.5
2025-01-01,RM_29,HCM_Center,144,148.4,1277.2,17809.4,13.2
2025-01-01,RM_30,HN_HeadOffice,52,801.1,4707.2,4142.6,15.8
2025-01-08,RM_01,HaiPhong,59,436.1,3897.4,8315.5,6.7
2025-01-08,RM_02,HN_HeadOffice,146,294.2,4012.7,21399.4,17.2
2025-01-08,RM_03,CanTho,174,310.4,7883.3,49315.8,7.8
2025-01-08,RM_04,DaNang,93,790.5,8156.0,39566.5,4.3
2025-01-08,RM_05,HCM_Center,30,515.3,8468.6,44753.2,16.7
2025-01-08,RM_06,HCM_Center,140,764.9,746.7,38918.4,17.2
2025-01-08,RM_07,Online,59,745.0,7605.9,4352.0,4.5
2025-01-08,RM_08,Online,109,612.2,8496.1,6604.9,11.6
2025-01-08,RM_09,Online,219,691.5,6579.7,36177.8,10.5
2025-01-08,RM_10,HN_HeadOffice,102,157.0,8167.8,44690.0,9.3
2025-01-08,RM_11,DaNang,213,397.8,6604.3,30622.2,15.3
2025-01-08,RM_12,Online,42,388.7,5918.6,6862.3,9.3
2025-01-08,RM_13,HaiPhong,153,462.8,5463.7,26011.2,9.0
2025-01-08,RM_14,Online,136,514.0,5273.6,48531.8,6.5
2025-01-08,RM_15,HN_HeadOffice,197,156.7,4026.9,24382.0,14.5
2025-01-08,RM_16,Online,168,577.9,5348.7,18305.4,16.1
2025-01-08,RM_17,Online,96,606.4,4953.5,37166.9,5.1
2025-01-08,RM_18,DaNang,159,292.6,2826.6,7777.8,4.5
2025-01-08,RM_19,CanTho,36,422.8,6841.3,10696.4,12.5
2025-01-08,RM_20,HaiPhong,218,435.4,5270.0,13872.3,8.1
2025-01-08,RM_21,HaiPhong,113,121.9,1112.9,17168.9,4.5
2025-01-08,RM_22,DaNang,167,105.1,3975.4,40549.9,14.9
2025-01-08,RM_23,Online,40,565.6,5480.7,20475.5,15.2
2025-01-08,RM_24,CanTho,104,423.5,7572.6,34138.2,17.4
2025-01-08,RM_25,HCM_Center,34,355.7,7009.3,10282.1,9.0
2025-01-08,RM_26,HaiPhong,50,89.7,6915.7,24979.7,13.0
2025-01-08,RM_27,DaNang,57,479.4,3114.0,30689.9,6.9
2025-01-08,RM_28,DaNang,208,140.4,1892.7,5449.5,9.4
2025-01-08,RM_29,Online,150,110.4,8089.2,42019.2,16.2
2025-01-08,RM_30,Online,202,445.2,1344.5,19931.5,10.5
2025-01-15,RM_01,HN_HeadOffice,99,848.7,4830.1,46302.4,13.1
2025-01-15,RM_02,Online,36,614.1,1506.9,15991.1,10.6
2025-01-15,RM_03,DaNang,178,793.3,1370.6,44418.1,7.8
2025-01-15,RM_04,CanTho,32,258.2,6867.0,35060.1,12.4
2025-01-15,RM_05,Online,121,564.0,6770.4,32934.4,10.4
2025-01-15,RM_06,HN_HeadOffice,217,137.7,3665.3,21220.8,13.1
2025-01-15,RM_07,Online,41,753.8,4099.5,19803.6,12.2
2025-01-15,RM_08,HCM_Center,140,201.2,952.9,27477.3,10.1
2025-01-15,RM_09,HCM_Center,216,581.6,695.8,37849.9,5.2
2025-01-15,RM_10,Online,41,660.4,6102.1,13958.1,10.7
2025-01-15,RM_11,HN_HeadOffice,63,511.0,2522.3,3026.3,4.2
2025-01-15,RM_12,CanTho,176,279.6,3117.5,4831.4,13.1
2025-01-15,RM_13,HCM_Center,47,612.1,4036.0,19607.6,12.6
2025-01-15,RM_14,HaiPhong,30,727.8,8754.1,19882.1,6.3
2025-01-15,RM_15,CanTho,164,895.0,8036.6,35216.0,11.9
2025-01-15,RM_16,HN_HeadOffice,44,570.0,2024.6,14348.7,11.1
